[INFO ] [2022-08-07 22:03:10,849] Login_01 - Step 1: Input an empty value to email address textbox 
[INFO ] [2022-08-07 22:03:11,038] Login_01 - Step 2: Input an empty value to password textbox 
[INFO ] [2022-08-07 22:03:11,173] Login_01 - Step 3: Click to login button 
[INFO ] [2022-08-07 22:03:11,268] Login_01 - Step 4: Verify whether the validate email error message is correct as expected 
[INFO ] [2022-08-07 22:03:11,321] Login_01 - Step 5: Verify whether the validate password error message is correct as expected 
[INFO ] [2022-08-07 22:03:11,392] Login_02 - Step 1: Input an invalid email address '123@456.789'
[INFO ] [2022-08-07 22:03:11,501] Login_02 - Step 2: Input a valid password
[INFO ] [2022-08-07 22:03:11,608] Login_02 - Step 3: Click to login button
[INFO ] [2022-08-07 22:03:11,686] Login_02 - Step 4: Verify whether the validate email error message is correct as expected
[INFO ] [2022-08-07 22:03:11,732] Login_03 - Step 1: Input a never registered email address 'pellentesque.eget@hotmail.ca'
[INFO ] [2022-08-07 22:03:11,842] Login_03 - Step 2: Input a valid password
[INFO ] [2022-08-07 22:03:11,935] Login_03 - Step 3: Click to login button
[INFO ] [2022-08-07 22:03:13,018] Login_03 - Step 4: Verify whether the validate email/password error message is correct as expected
[INFO ] [2022-08-07 22:03:13,065] Login_04 - Step 1: Input a never registered email address 'pellentesque.eget@hotmail.ca'
[INFO ] [2022-08-07 22:03:13,239] Login_04 - Step 2: Input a password less than 6 characters
[INFO ] [2022-08-07 22:03:13,353] Login_04 - Step 3: Click to login button
[INFO ] [2022-08-07 22:03:13,420] Login_04 - Step 4: Verify whether the validate password error message is correct as expected
[INFO ] [2022-08-07 22:03:13,475] Login_05 - Step 1: Input a never registered email address 'pellentesque.eget@hotmail.ca'
[INFO ] [2022-08-07 22:03:13,579] Login_05 - Step 2: Input a well-formated password but it was never used before '123456789'
[INFO ] [2022-08-07 22:03:13,685] Login_05 - Step 3: Click to login button
[INFO ] [2022-08-07 22:03:14,742] Login_05 - Step 4: Verify whether the validate password error message is correct as expected
[INFO ] [2022-08-07 22:03:14,800] Login_06 - Step 1: Input a valid email address
[INFO ] [2022-08-07 22:03:14,993] Login_06 - Step 2: Input a valid password
[INFO ] [2022-08-07 22:03:15,105] Login_06 - Step 3: Click to login button
[INFO ] [2022-08-07 22:03:16,212] Login_06 - Step 4: Verify whether the user name  is correct as expected
[INFO ] [2022-08-07 22:03:16,264] Login_06 - Step 5: Verify whether the user email is correct as expected
[INFO ] [2022-08-07 22:03:16,365] Login_06 - Step 6: Click to logout button
[INFO ] [2022-08-07 22:03:32,617] OS name = windows 10
[INFO ] [2022-08-07 22:03:32,617] Driver instance name = chromedriver: chrome on windows (95c3020c4efe85bfe3aa9bf8915eedce)
